Species,ComName,mean_length_mm,BodyShapeI,DemersPelag,migrations,feeding_guild
Syngnathus leptorhynchus,Bay pipefish,135.54422112974746,eel-like,demersal,resident,zoobenthivorous
Enophrys bison,Buffalo Sculpin,81.24444444444444,fusiform / normal,demersal,resident,omnivorous
Pleuronichthys coenosus,C-O Sole,70,short and / or deep,demersal,resident,zoobenthivorous
Oncorhynchus tshawytscha,Chinook salmon,107.47868846795348,fusiform / normal,epipelagic,migratory,omnivorous
Oncorhynchus keta,Chum salmon,70.26135913341786,fusiform / normal,epipelagic,migratory,planktivorous
Oncorhynchus kisutch,Coho salmon,123.98941798941799,fusiform / normal,epipelagic,migratory,omnivorous
Pholis laeta,Crescent Gunnel,99.63419540229886,eel-like,demersal,resident,zoobenthivorous
Oncorhynchus clarkii,Cutthroat trout,206.5,fusiform / normal,epipelagic,migratory,omnivorous
Parophrys vetulus,English sole,58.78125,short and / or deep,demersal,migratory,zoobenthivorous
Myoxocephalus polyacanthocephalus,Great Sculpin,200,fusiform / normal,demersal,migratory,omnivorous
Hexagrammos decagrammus,Kelp Greenling,60.04777517564403,fusiform / normal,demersal,resident,zoobenthivorous
Ophiodon elongatus,Lingcod,83.75,elongated,demersal,migratory,zoobenthivorous
Engraulis mordax,Northern Anchovy,98.125,elongated,pelagic,resident,planktivorous
Gadus macrocephalus,Pacific Cod,62.541666666666664,fusiform / normal,demersal,migratory,planktivorous
Clupea pallasii,Pacific herring,79.99183385442831,fusiform / normal,pelagic,resident,planktivorous
Ammodytes hexapterus,Pacific sand lance,76.27195592286502,elongated,benthopelagic,migratory,planktivorous
Psettichthys melanostictus,Pacific sand sole,117.25,short and / or deep,demersal,resident,omnivorous
Trichodon trichodon,Pacific sandfish,83,elongated,demersal,resident,omnivorous
Lumpenus sagitta,Pacific snake prickleback,130.66156565656564,eel-like,benthopelagic,resident,zoobenthivorous
Leptocottus armatus,Pacific staghorn sculpin,118.30833333333334,elongated,demersal,migratory,omnivorous
Microgadus proximus,Pacific tomcod,39.30148240728519,fusiform / normal,demersal,migratory,zoobenthivorous
Artedius fenestralis,Padded Sculpin,80,elongated,demersal,resident,omnivorous
Apodichthys flavidus,Penpoint Gunnel,122.60714285714286,eel-like,demersal,resident,zoobenthivorous
Phanerodon vacca,Pile Perch,148.1875,short and / or deep,demersal,resident,zoobenthivorous
Oncorhynchus gorbuscha,Pink salmon,55.388474379580025,fusiform / normal,epipelagic,migratory,planktivorous
Porichthys notatus,Plainfin midshipman,57.5,elongated,demersal,resident,omnivorous
Lepidopsetta bilineata,Rock Sole,215,short and / or deep,demersal,resident,omnivorous
Pholis ornata,Saddleback Gunnel,97.57824074074074,eel-like,demersal,resident,zoobenthivorous
Limanda limanda,Sand Dab,61.9,short and / or deep,demersal,migratory,zoobenthivorous
Cymatogaster aggregata,Shiner Perch,69.7554917260169,short and / or deep,demersal,resident,zoobenthivorous
Blepsias cirrhosus,Silverspotted sculpin,54.986111111111114,elongated,demersal,resident,zoobenthivorous
Citharichthys stigmaeus,Speckled sanddab,110,short and / or deep,demersal,resident,zoobenthivorous
Platichthys stellatus,Starry Flounder,220.25,short and / or deep,demersal,migratory,omnivorous
Oncorhynchus mykiss,Steelhead trout,209,fusiform / normal,epipelagic,migratory,omnivorous
Embiotoca lateralis,Striped Seaperch,136.33541666666667,short and / or deep,demersal,resident,zoobenthivorous
Hypomesus pretiosus,Surf Smelt,116.15947791659818,elongated,benthopelagic,resident,omnivorous
Psychrolutes paradoxus,Tadpole Sculpin,32.38333333333333,elongated,demersal,resident,omnivorous
Gasterosteus aculeatus,Three-spined stickleback,44.88640798630014,fusiform / normal,benthopelagic,migratory,omnivorous
Oligocottus maculosus,Tidepool Sculpin,89,elongated,demersal,resident,zoobenthivorous
Liparis florae,Tidepool Snailfish,117,elongated,demersal,resident,zoobenthivorous
Aulorhynchus flavidus,Tube-snout,134.32063403781981,elongated,benthopelagic,resident,omnivorous
Hexagrammos stelleri,Whitespotted greenling,93.5,fusiform / normal,demersal,resident,omnivorous
