sample,Species_Richness,FDis,FEve,FRic,FDiv
FAMA2019,9,0.41964150931901845,0.60193700000000006,0.16189343662149874,0.9402501841636034
FAMA2021,6,0.39561285067907953,0.504791,0.059255329,0.5787818829104794
FAMA2022,4,0.075656017,0.526102,0.058255567943659284,0.9772864774676827
FAMN2018,6,0.5402374723254908,0.153907,0.15267955039203515,0.7075854555945893
FAMN2019,7,0.37584860520636465,0.1863,0.23337775992558796,0.38375321770199333
FAMN2021,5,0.4715985674116763,0.217307,0.021038043,0.9928840260561959
FAMN2022,8,0.579289741,0.496942,0.28270511481063254,0.9528243455934639
FAMR2018,6,0.233598902,0.599031,0.04591415,0.976228185
FAMR2019,6,0.3909791293193438,0.623357,0.099337545,0.9192586826720709
FAMR2021,4,0.21508501851995132,0.596966,0.002406071,0.7087712924758645
FAMR2022,8,0.5631273423425132,0.702702,0.12038623921606958,0.7236309394845308
TURA2018,11,0.5271091916978816,0.31479,0.10856595856488706,0.7997755153308608
TURA2019,12,0.25089243453964843,0.369954,0.10959979651914942,0.918138772
TURA2021,12,0.5723217226410151,0.359764,0.14513540976449682,0.8196842201031427
TURA2022,10,0.4552078209290955,0.445108,0.11148304004726088,0.827649419
TURN2019,4,0.5648016618257853,0.686027,0.030649353,0.7525605839922956
TURN2021,6,0.6733314900280837,0.820407,0.025331122344766626,0.7969604182575859
TURN2022,7,0.270552534,0.43724,0.036743015,0.9773984764923538
TURN22018,5,0.5481092969005039,0.553886,0.00556878,0.8837013908122282
TURN22019,7,0.19471151505893175,0.491921,0.084345857,0.9731119735482393
TURN22021,6,0.42286446343708334,0.566705,0.023764772,0.7326283430453411
TURN22022,5,0.21665884277475417,0.379097,0.027093139,0.9481526427140508
CORA2018,8,0.19617953963523896,0.64711,0.11462702224920998,0.8065073743618366
CORA2019,10,0.2759501386186744,0.469241,0.18520738135872186,0.9949681971978983
CORA2021,12,0.38641377747477046,0.599288,0.36270153145923884,0.9737779484999599
CORA2022,13,0.7842224176986365,0.279112,0.23459478727150465,0.8474416354775861
CORN2018,13,0.44129446478851375,0.504715,0.5025169717879855,0.7849578861417722
CORN2019,19,0.7211814009591314,0.333161,0.7146658196470326,0.7939377282306588
CORN2021,9,0.7364022681995424,0.508617,0.1594211058755523,0.7696280672650375
CORN2022,20,0.6385313819889632,0.58517,0.5610080618922226,0.9431501508946507
CORR2018,10,0.589754221,0.384988,0.1554645412488287,0.90391171
CORR2019,25,0.7457009727292134,0.552498,0.56182171,0.740027074
CORR2021,12,0.780391806,0.485692,0.1788876168709713,0.9722027497323277
CORR2022,19,0.6813618814898715,0.56006,0.5918605098852262,0.9286320921445153
SHRA2018,6,0.7833060355537383,0.452106,0.016431365195677627,0.775961517
SHRA2019,6,0.6676002795197549,0.332215,0.088932194,0.9523123956049416
SHRA2021,8,0.34354255619034507,0.51096,0.11403187925593308,0.5486050533860864
SHRA2022,8,0.5418368236186212,0.544571,0.189879124,0.9095433863097151
SHRN2018,4,0.1846695482469383,0.162838,0.033712305,0.8212174232767879
SHRN2019,9,0.793297402,0.404727,0.22592014871249286,0.8637141250308328
SHRN2021,5,0.49747136246999196,0.626805,0.018042171825345534,0.691439699
SHRN2022,12,0.8307565466575122,0.64936,0.45999059910109136,0.9318009927089893
SHRR2019,5,0.4707083863749417,0.389722,0.2145507589311865,0.9856674453626234
SHRR2021,6,0.6448390608801235,0.305814,0.13298407074183435,0.7959951922045617
SHRR2022,4,0.11784550293866333,0.313438,0.001698258,0.9856866454637495
DOKA2018,4,0.34320663018825387,0.398464,7.700569631648493e-4,0.5402957855921059
DOKA2019,5,0.5547884038961215,0.551992,0.060510832,0.6717163899984382
DOKA2021,4,0.20819971687199731,0.159431,0.003360776,0.6142851783957213
DOKA2022,8,0.449843701,0.097492,0.054737043,0.9884112675864897
DOKN2021,5,0.036096141,0.656871,0.11551565312763142,0.9967615403665335
DOKN2022,5,0.3118419525653027,0.360112,0.010735998948275538,0.6714184458977355
DOKR2018,4,0.043578621,0.26632,0.005123715,0.9740763281868591
DOKR2019,4,0.36337963159687586,0.193384,0.013276112,0.9948363792102392
DOKR2021,7,0.7727870976049782,0.229259,0.094190527,0.9945772210961318
DOKR2022,6,0.413698877,0.156905,0.017988529217020655,0.9721390508114065
EDGA2018,5,0.35020058315539604,0.350732,0.082769573,0.9901132808561457
EDGA2022,4,0.1289555512355896,0.130126,0.006699498,0.5357381450140022
EDGN2018,4,0.5856584466301185,0.851905,0.007768949,0.9191238846164732
EDGN2019,5,0.6304034652270282,0.509506,0.037333221630402175,0.910015202
EDGN2022,7,0.1716319924756921,0.487821,0.070094276,0.9950961144225696
EDGR2018,7,0.6080714512479449,0.406046,0.090554064,0.8930234479080748
EDGR2019,6,0.2629831869315667,0.182185,0.1543859669640604,0.7174989574949695
EDGR2022,6,0.7818963670401387,0.691974,0.057246690085756634,0.7935598176018988
FAMA2018,3,0,0,0,0
TURN2018,1,0,0,0,0
SHRR2018,3,0,0,0,0
DOKN2018,3,0,0,0,0
DOKN2019,3,0,0,0,0
EDGA2019,2,0,0,0,0
EDGA2021,1,0,0,0,0
EDGN2021,3,0,0,0,0
EDGR2021,3,0,0,0,0
